genome_id,genome_name,repository,species_id,sra_accession,quality_level,completeness,contamination,count_contigs,genome_length,avg_contig_length,contig_N50,average_depth,percent_contigs_5x_depth,count_trnas,rrna_5s_present,rrna_16s_present,rrna_23s_present,species_alt_id,species_name,representative_genome,gtdb_taxonomy,operational_taxonomy,count_hgm,count_ref,gut_species,new_species,cultured_species,high_quality
1262913.3.patric,Parabacteroides sp. CAG:409,PATRIC,OTU-05701,,high,97.69,0.58,189,3495237,18493.3,35643,,,17,No,No,No,259787,Parabacteroides sp.,1262913.3,d__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;s__,d__Bacteria;p__21;c__101;o__592;f__1142;g__4421;s__05701,2,1,Yes,No,No,Yes
102684.9.patric,Streptococcus infantarius strain ICDDRB-NRC-S5,PATRIC,OTU-10559,,high,99.81,0.0,1,1818293,1818290.0,1818293,,,20,Yes,Yes,Yes,222825,Streptococcus lutetiensis,102684.9,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus lutetiensis,d__Bacteria;p__01;c__014;o__053;f__0110;g__0497;s__10559,20,4,Yes,No,Yes,Yes
1262863.3.patric,Coprococcus sp. CAG:782,PATRIC,OTU-12234,,high,98.66,0.0,60,2326715,38778.6,84123,,,10,No,No,No,257909,Coprococcus sp.,1262863.3,d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Coprococcus;s__,d__Bacteria;p__18;c__124;o__762;f__1518;g__6539;s__12234,39,1,Yes,No,No,Yes
28037.238.patric,Streptococcus mitis strain DD22,PATRIC,OTU-10400,,high,92.99,0.85,170,2246399,13214.1,211918,,,18,Yes,Yes,Yes,269529,Streptococcus mitis,28037.238,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus,d__Bacteria;p__01;c__014;o__053;f__0110;g__0496;s__10400,0,2,Yes,No,Yes,Yes
729.70.patric,Haemophilus parainfluenzae strain 60884 B Hi-2,PATRIC,OTU-20794,,high,99.89,0.05,13,1872293,144023.0,471901,,,18,Yes,Yes,Yes,261916,Haemophilus parainfluenzae,729.70,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Pasteurellaceae;g__Haemophilus_D,d__Bacteria;p__08;c__064;o__363;f__0707;g__2432;s__20794,6,9,Yes,No,Yes,Yes
28025.10.patric,Bifidobacterium animalis strain A6,PATRIC,OTU-01770,,high,100.0,0.0,1,1958651,1958650.0,1958651,,,20,Yes,Yes,Yes,260279,Bifidobacterium sp.,28025.10,d__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium animalis,d__Bacteria;p__23;c__114;o__653;f__1260;g__5067;s__01770,15,35,Yes,No,Yes,Yes
349519.10.patric,Leuconostoc citreum KM20,PATRIC,OTU-10284,,high,99.89,0.0,5,1896614,379323.0,1796284,,,20,Yes,Yes,Yes,219858,Leuconostoc citreum,349519.10,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Leuconostoc;s__Leuconostoc citreum,d__Bacteria;p__01;c__014;o__053;f__0108;g__0467;s__10284,42,10,Yes,No,Yes,Yes
70258.6.patric,Staphylococcus piscifermentans strain NCTC13836,PATRIC,OTU-10990,,high,99.45,1.24,1,2613271,2613270.0,2613271,,,20,Yes,Yes,Yes,277595,Staphylococcus piscifermentans,70258.6,d__Bacteria;p__Firmicutes;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus,d__Bacteria;p__01;c__014;o__052;f__0103;g__0424;s__10990,0,1,Yes,No,Yes,Yes
537970.14.patric,Helicobacter canadensis MIT 98-5491 (Prj:30719),PATRIC,OTU-09007,,high,99.66,0.12,1,1623945,1623940.0,1623945,,,20,No,Yes,Yes,278345,Helicobacter canadensis,537970.14,d__Bacteria;p__Epsilonbacteraeota;c__Campylobacteria;o__Campylobacterales;f__Helicobacteraceae;g__Helicobacter_D;s__Helicobacter_D canadensis,d__Bacteria;p__10;c__055;o__265;f__0509;g__1525;s__09007,0,2,Yes,No,Yes,Yes
1423719.4.patric,Lactobacillus algidus DSM 15638,PATRIC,OTU-10121,,high,98.69,0.17,28,1590323,56797.2,150125,,,19,Yes,Yes,Yes,262960,Lactobacillus algidus,1423719.4,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus_A;s__Lactobacillus_A algidus,d__Bacteria;p__01;c__014;o__053;f__0107;g__0454;s__10121,0,1,Yes,No,Yes,Yes
888826.3.patric,Campylobacter upsaliensis JV21,PATRIC,OTU-08935,,high,99.88,0.0,14,1649151,117796.0,1566917,,,20,No,Yes,Yes,260044,Campylobacter upsaliensis,888826.3,d__Bacteria;p__Epsilonbacteraeota;c__Campylobacteria;o__Campylobacterales;f__Campylobacteraceae;g__Campylobacter;s__Campylobacter upsaliensis,d__Bacteria;p__10;c__055;o__264;f__0507;g__1494;s__08935,0,3,Yes,No,Yes,Yes
879243.3.patric,Porphyromonas asaccharolytica DSM 20707,PATRIC,OTU-05466,,high,99.92,0.0,1,2186370,2186370.0,2186370,,,20,Yes,Yes,Yes,238266,Porphyromonas asaccharolytica,879243.3,d__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Porphyromonas;s__Porphyromonas asaccharolytica,d__Bacteria;p__21;c__101;o__592;f__1145;g__4427;s__05466,0,2,Yes,No,Yes,Yes
1262747.3.patric,Bacteroides sp. CAG:702,PATRIC,OTU-04749,,high,95.84,0.0,157,3433888,21871.9,51229,,,15,No,No,No,255979,Bacteroides sp.,1262747.3,d__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides_A;s__,d__Bacteria;p__21;c__101;o__592;f__1142;g__4351;s__04749,1,5,Yes,No,Yes,Yes
1392497.3.patric,[Clostridium] mangenotii LM2,PATRIC,OTU-13547,,high,99.16,0.7,1,3023790,3023790.0,3023790,,,20,Yes,Yes,Yes,261490,Clostridioides sp.,1392497.3,d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales;f__Peptostreptococcaceae;g__Clostridioides;s__Clostridioides mangenotii,d__Bacteria;p__18;c__124;o__767;f__1539;g__6779;s__13547,0,2,Yes,No,Yes,Yes
693444.3.patric,Enterobacteriaceae bacterium strain FGI 57,PATRIC,OTU-20499,,high,100.0,0.12,1,4762179,4762180.0,4762179,,,20,Yes,Yes,Yes,271290,Kluyvera sp.,693444.3,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Kluyvera;s__,d__Bacteria;p__08;c__064;o__363;f__0707;g__2434;s__20499,0,1,Yes,No,Yes,Yes
460384.4.patric,[Clostridium] lavalense strain NLAE-zl-G277,PATRIC,OTU-12212,,high,99.22,0.0,97,6400899,65988.6,136945,,,19,No,Yes,Yes,241219,Clostridium sp.,460384.4,d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Clostridium_M;s__Clostridium_M lavalense,d__Bacteria;p__18;c__124;o__762;f__1517;g__6684;s__12212,3,1,Yes,No,Yes,Yes
1650663.3.patric,Ruminococcaceae bacterium AM2,PATRIC,OTU-13328,,high,99.32,0.23,19,3829505,201553.0,396958,,,20,Yes,Yes,Yes,250262,Fournierella sp.,1650663.3,d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Fournierella;s__Fournierella massiliensis,d__Bacteria;p__18;c__124;o__753;f__1494;g__6289;s__13328,1,1,Yes,No,Yes,Yes
330.44.patric,Pseudomonas pseudoalcaligenes strain CECT 5344,PATRIC,OTU-22387,,high,99.51,1.63,1,4696984,4696980.0,4696984,,,20,Yes,Yes,Yes,259797,Pseudomonas pseudoalcaligenes,330.44,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_E;s__Pseudomonas_E pseudoalcaligenes,d__Bacteria;p__08;c__064;o__358;f__0694;g__2337;s__22387,0,8,Yes,No,Yes,Yes
687436.3.patric,Paenibacillus sp. AT5,PATRIC,OTU-11270,,high,99.07,0.0,12,5924107,493676.0,4112046,,,19,Yes,Yes,Yes,278058,Paenibacillus sp.,687436.3,d__Bacteria;p__Firmicutes;c__Bacilli_A;o__Paenibacillales;f__Paenibacillaceae;g__Paenibacillus_Q;s__Paenibacillus_Q ihumii,d__Bacteria;p__18;c__123;o__730;f__1431;g__5880;s__11270,0,1,Yes,No,Yes,Yes
1235814.4.patric,Bacteroides acidifaciens JCM 10556,PATRIC,OTU-04681,,high,95.54,0.0,265,4849058,18298.3,37511,,,20,Yes,Yes,Yes,240257,Bacteroides acidifaciens,1235814.4,d__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides acidifaciens,d__Bacteria;p__21;c__101;o__592;f__1142;g__4347;s__04681,0,2,Yes,No,Yes,Yes
1262740.3.patric,Bacteroides sp. CAG:462,PATRIC,OTU-04787,,high,96.87,0.19,156,3568372,22874.2,47217,,,19,No,No,No,244650,Bacteroidaceae sp.,1262740.3,d__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__CAG-462;s__,d__Bacteria;p__21;c__101;o__592;f__1142;g__4350;s__04787,6,1,Yes,No,No,Yes
765821.6.patric,uncultured Blautia sp. strain 2789STDY5608848,PATRIC,OTU-12037,,high,99.37,0.32,25,3675824,147033.0,380409,,,20,Yes,Yes,Yes,257278,Blautia sp.,765821.6,d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A;s__,d__Bacteria;p__18;c__124;o__762;f__1517;g__6656;s__12037,6,2,Yes,No,Yes,Yes
1169349.3.patric,Escherichia coli KTE31,PATRIC,OTU-20442,,high,99.89,0.04,29,4514939,155688.0,454369,,,20,Yes,Yes,Yes,259302,Escherichia coli,1169349.3,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia sp2,d__Bacteria;p__08;c__064;o__363;f__0707;g__2434;s__20442,1,11,Yes,No,Yes,Yes
546271.5.patric,Selenomonas sputigena ATCC 35185,PATRIC,OTU-14092,,high,100.0,0.63,1,2568361,2568360.0,2568361,,,20,Yes,Yes,Yes,261874,Selenomonas sputigena,546271.5,d__Bacteria;p__Firmicutes;c__Negativicutes;o__Selenomonadales;f__Selenomonadaceae;g__Selenomonas;s__Selenomonas sputigena,d__Bacteria;p__18;c__123;o__723;f__1407;g__5737;s__14092,0,3,Yes,No,Yes,Yes
1423828.4.patric,Lactobacillus kefiranofaciens subsp. kefirgranum DSM 10550 = JCM 8572,PATRIC,OTU-10112,,high,99.03,0.28,138,2085781,15114.4,62697,,,20,Yes,Yes,Yes,275577,Lactobacillus kefiranofaciens,1423828.4,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus kefiranofaciens,d__Bacteria;p__01;c__014;o__054;f__0106;g__0446;s__10112,0,10,Yes,No,Yes,Yes
1161902.3.patric,Eubacterium nodatum ATCC 33099,PATRIC,OTU-13493,,high,98.94,0.0,29,1829558,63088.2,129203,,,18,No,No,No,273428,Eubacterium sp.,1161902.3,d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales;f__Anaerovoracaceae;g__Eubacterium_A;s__Eubacterium_A nodatum,d__Bacteria;p__18;c__124;o__769;f__1547;g__6829;s__13493,0,1,Yes,No,Yes,Yes
1579343.3.patric,Streptococcus sp. 263_SSPC,PATRIC,OTU-09961,,high,99.45,0.27,60,1804345,30072.4,85090,,,17,Yes,Yes,Yes,274033,Granulicatella sp.,1579343.3,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Aerococcaceae;g__Granulicatella;s__Granulicatella maltaromaticum,d__Bacteria;p__01;c__014;o__053;f__0109;g__0535;s__09961,0,1,Yes,No,Yes,Yes
1236508.3.patric,Prevotella aurantiaca JCM 15754,PATRIC,OTU-05017,,high,98.57,0.0,148,3002170,20284.9,59497,,,17,Yes,Yes,Yes,266683,Prevotella aurantiaca,1236508.3,d__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella aurantiaca,d__Bacteria;p__21;c__101;o__592;f__1144;g__4376;s__05017,0,1,Yes,No,Yes,Yes
114090.4.patric,Pediococcus inopinatus strain Wikim15,PATRIC,OTU-10301,,high,99.38,0.02,62,2068534,33363.4,69828,,,20,Yes,Yes,Yes,216144,Pediococcus inopinatus,114090.4,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Pediococcus;s__Pediococcus inopinatus,d__Bacteria;p__01;c__014;o__053;f__0107;g__0472;s__10301,0,4,Yes,No,Yes,Yes
28031.15.patric,Lysinibacillus fusiformis strain GM,PATRIC,OTU-09696,,high,99.34,0.33,17,4681260,275368.0,2538659,,,20,Yes,Yes,Yes,260610,Lysinibacillus fusiformis,28031.15,d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Planococcaceae;g__Lysinibacillus;s__Lysinibacillus fusiformis,d__Bacteria;p__01;c__014;o__052;f__0104;g__0541;s__09696,0,23,Yes,No,Yes,Yes
1630135.4.patric,Dermabacter vaginalis strain AD1-86,PATRIC,OTU-01940,,high,93.57,0.34,1,2392314,2392310.0,2392314,,,20,Yes,Yes,Yes,277196,Dermabacter vaginalis,1630135.4,d__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Dermabacteraceae;g__Dermabacter_A;s__Dermabacter_A vaginalis,d__Bacteria;p__23;c__114;o__654;f__1261;g__5228;s__01940,0,1,Yes,No,Yes,Yes
888742.3.patric,Neisseria bacilliformis ATCC BAA-1200,PATRIC,OTU-19760,,high,99.15,0.23,69,2434769,35286.5,80283,,,19,Yes,Yes,Yes,255867,Neisseria bacilliformis,888742.3,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Betaproteobacteriales;f__Neisseriaceae;g__Neisseria_D;s__Neisseria_D bacilliformis,d__Bacteria;p__08;c__064;o__329;f__0620;g__1884;s__19760,0,3,Yes,No,Yes,Yes
537007.6.patric,Blautia hansenii DSM 20583,PATRIC,OTU-11994,,high,98.73,0.0,8,3058721,382340.0,762426,,,20,No,Yes,Yes,256106,Blautia hansenii,537007.6,d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia;s__Blautia hansenii,d__Bacteria;p__18;c__124;o__762;f__1517;g__6655;s__11994,25,5,Yes,No,Yes,Yes
1262889.3.patric,Eubacterium sp. CAG:38,PATRIC,OTU-12399,,high,99.33,0.0,67,2729955,40745.6,121886,,,14,No,No,No,261211,Lachnospira sp.,1262889.3,d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospira;s__,d__Bacteria;p__18;c__124;o__762;f__1517;g__6490;s__12399,224,1,Yes,No,No,Yes
1118058.3.patric,Actinomyces sp. ph3,PATRIC,OTU-01688,,high,99.84,0.71,10,1864179,186418.0,305638,,,20,Yes,Yes,Yes,262101,Streptomyces cattleya,1118058.3,d__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces_B;s__Actinomyces_B sp1,d__Bacteria;p__23;c__114;o__654;f__1270;g__5244;s__01688,1,3,Yes,No,Yes,Yes
28037.213.patric,Streptococcus mitis strain SK137,PATRIC,OTU-10498,,high,99.78,0.2,7,1984405,283486.0,1089748,,,20,Yes,Yes,Yes,262268,Streptococcus mitis,28037.213,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus,d__Bacteria;p__01;c__014;o__053;f__0110;g__0496;s__10498,0,5,Yes,No,Yes,Yes
1335613.4.patric,Gordonibacter urolithinfaciens strain 142160_ID174831,PATRIC,OTU-04369,,high,100.0,0.27,1,3294868,3294870.0,3294868,,,20,Yes,Yes,Yes,252862,Gordonibacter urolithinfaciens,1335613.4,d__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__Gordonibacter,d__Bacteria;p__23;c__115;o__659;f__1277;g__5370;s__04369,1,2,Yes,No,Yes,Yes
1423746.3.patric,Lactobacillus frumenti DSM 13145,PATRIC,OTU-10222,,high,99.46,0.0,26,1733578,66676.1,204018,,,20,Yes,Yes,Yes,263029,Lactobacillus frumenti,1423746.3,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus_H;s__Lactobacillus_H frumenti,d__Bacteria;p__01;c__014;o__053;f__0107;g__0476;s__10222,0,2,Yes,No,Yes,Yes
157838.3.patric,Bacillus shackletonii strain LMG 18435,PATRIC,OTU-09477,,high,98.53,3.21,24,5297592,220733.0,3831633,,,20,Yes,Yes,Yes,269107,Bacillus shackletonii,157838.3,d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae_C;g__Bacillus_AJ;s__Bacillus_AJ shackletonii,d__Bacteria;p__01;c__014;o__052;f__0104;g__0570;s__09477,0,1,Yes,No,Yes,Yes
28037.92.patric,Streptococcus mitis strain SK608,PATRIC,OTU-10380,,high,99.64,0.3,15,2127862,141857.0,195154,,,20,Yes,Yes,Yes,279909,Streptococcus mitis,28037.92,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus,d__Bacteria;p__01;c__014;o__053;f__0110;g__0496;s__10380,0,1,Yes,No,Yes,Yes
1262906.3.patric,Mycoplasma sp. CAG:776,PATRIC,OTU-10803,,high,93.82,3.37,33,1303150,39489.4,145836,,,20,Yes,Yes,Yes,271469,RF39 sp.,1262906.3,d__Bacteria;p__Firmicutes;c__Bacilli;o__RF39;f__CAG-1000;g__CAG-776;s__,d__Bacteria;p__01;c__014;o__047;f__0084;g__0316;s__10803,1,1,Yes,No,No,Yes
43675.28.patric,Rothia mucilaginosa strain NUM-Rm6536,PATRIC,OTU-02435,,high,99.33,2.0,1,2292716,2292720.0,2292716,,,20,Yes,Yes,Yes,261919,Rothia mucilaginosa,43675.28,d__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Micrococcaceae;g__Rothia,d__Bacteria;p__23;c__114;o__654;f__1272;g__5322;s__02435,1,1,Yes,No,Yes,Yes
1461580.3.patric,Bacillus sp. JCE,PATRIC,OTU-09437,,high,98.84,0.47,149,4762944,31966.1,64097,,,20,Yes,Yes,Yes,264821,Bacillus sp.,1461580.3,d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae_A;g__Bacillus_W;s__Bacillus_W sp1,d__Bacteria;p__01;c__014;o__052;f__0104;g__0577;s__09437,0,2,Yes,No,Yes,Yes
45634.12.patric,Streptococcus cristatus strain DD08,PATRIC,OTU-10388,,high,98.19,0.0,44,2206539,50148.6,1734855,,,19,Yes,Yes,Yes,275518,Streptococcus cristatus,45634.12,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus,d__Bacteria;p__01;c__014;o__053;f__0110;g__0496;s__10388,0,1,Yes,No,Yes,Yes
888061.3.patric,Desulfomicrobium orale DSM 12838,PATRIC,OTU-08640,,high,98.51,1.19,1,2783374,2783370.0,2783374,,,20,Yes,Yes,Yes,274884,Desulfomicrobium orale,888061.3,d__Bacteria;p__Desulfobacteraeota_A;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfomicrobiaceae;g__Desulfomicrobium;s__Desulfomicrobium orale,d__Bacteria;p__17;c__082;o__440;f__0853;g__3205;s__08640,0,1,Yes,No,Yes,Yes
1123013.3.patric,Pseudoclavibacter soli DSM 23366,PATRIC,OTU-02269,,high,99.71,0.19,10,2222738,222274.0,520472,,,20,Yes,Yes,Yes,273306,Pseudoclavibacter soli,1123013.3,d__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Microbacteriaceae;g__Pseudoclavibacter_A;s__Pseudoclavibacter_A soli,d__Bacteria;p__23;c__114;o__654;f__1273;g__5279;s__02269,0,1,Yes,No,Yes,Yes
1122155.4.patric,Lactonifactor longoviformis DSM 17459,PATRIC,OTU-12406,,high,99.37,1.29,76,4839287,63674.8,144569,,,19,No,Yes,Yes,275909,Lactonifactor longoviformis,1122155.4,d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lactonifactor;s__Lactonifactor longoviformis,d__Bacteria;p__18;c__124;o__762;f__1517;g__6655;s__12406,0,1,Yes,No,Yes,Yes
1305.15.patric,Streptococcus sanguinis strain 2908,PATRIC,OTU-10383,,high,100.0,0.0,1,2308610,2308610.0,2308610,,,20,Yes,Yes,Yes,266455,Streptococcus sanguinis,1305.15,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus,d__Bacteria;p__01;c__014;o__053;f__0110;g__0496;s__10383,0,1,Yes,No,Yes,Yes
1158606.4.patric,Enterococcus asini ATCC 700915 [PRJNA206346],PATRIC,OTU-10051,,high,99.25,0.87,2,2572706,1286350.0,2038454,,,20,No,No,No,259033,Enterococcus asini,1158606.4,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus_C;s__Enterococcus_C asini,d__Bacteria;p__01;c__014;o__053;f__0109;g__0503;s__10051,1,3,Yes,No,Yes,Yes
435842.3.patric,Streptococcus sp. C150,PATRIC,OTU-10597,,high,99.88,0.0,21,2142483,102023.0,1614676,,,20,Yes,Yes,Yes,258465,Prevotella bivia,435842.3,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus sp3,d__Bacteria;p__01;c__014;o__053;f__0110;g__0497;s__10597,23,6,Yes,No,Yes,Yes
871325.5.patric,Bacteroides faecichinchillae strain DSM 26883,PATRIC,OTU-04690,,high,99.26,0.56,88,4806522,54619.6,133019,,,20,Yes,Yes,Yes,262330,Bacteroides faecichinchillae,871325.5,d__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides faecichinchillae,d__Bacteria;p__21;c__101;o__592;f__1142;g__4347;s__04690,0,3,Yes,No,Yes,Yes
1423800.3.patric,Lactobacillus sanfranciscensis DSM 20451,PATRIC,OTU-10206,,high,99.38,0.99,68,1231754,18114.0,52620,,,17,Yes,No,Yes,213582,Lactobacillus sanfranciscensis,1423800.3,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus_G;s__Lactobacillus_G sanfranciscensis,d__Bacteria;p__01;c__014;o__053;f__0107;g__0488;s__10206,4,3,Yes,No,Yes,Yes
443906.13.patric,Clavibacter michiganensis subsp. michiganensis NCPPB 382,PATRIC,OTU-02076,,high,99.49,0.0,3,3395237,1131750.0,3297891,,,20,Yes,Yes,Yes,261709,Clavibacter michiganensis,443906.13,d__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Microbacteriaceae;g__Clavibacter;s__Clavibacter michiganensis,d__Bacteria;p__23;c__114;o__654;f__1273;g__5291;s__02076,0,15,Yes,No,Yes,Yes
1121925.5.patric,Globicatella sulfidifaciens DSM 15739 strain DSM 15739,PATRIC,OTU-09955,,high,97.83,0.47,39,2217574,56860.9,106521,,,13,Yes,Yes,No,261669,Globicatella sanguinis,1121925.5,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Aerococcaceae;g__Globicatella,d__Bacteria;p__01;c__014;o__053;f__0113;g__0531;s__09955,0,4,Yes,No,Yes,Yes
1121110.3.patric,Bifidobacterium subtile DSM 20096,PATRIC,OTU-01803,,high,99.44,3.48,32,2765266,86414.6,237138,,,20,Yes,Yes,Yes,272973,Bifidobacterium sp.,1121110.3,d__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium subtile,d__Bacteria;p__23;c__114;o__653;f__1260;g__5066;s__01803,0,4,Yes,No,Yes,Yes
1379.3.patric,Gemella haemolysans strain DNF01167,PATRIC,OTU-10950,,high,97.99,0.0,83,1892523,22801.5,53153,,,16,Yes,Yes,Yes,275825,Gemella haemolysans,1379.3,d__Bacteria;p__Firmicutes;c__Bacilli;o__Staphylococcales;f__Gemellaceae;g__Gemella,d__Bacteria;p__01;c__014;o__052;f__0102;g__0421;s__10950,0,1,Yes,No,Yes,Yes
887898.3.patric,Lautropia mirabilis ATCC 51599,PATRIC,OTU-19162,,high,98.66,0.0,8,3151925,393991.0,3142220,,,19,Yes,Yes,Yes,280027,Lautropia mirabilis,887898.3,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Betaproteobacteriales;f__Burkholderiaceae;g__Lautropia;s__Lautropia mirabilis,d__Bacteria;p__08;c__064;o__329;f__0614;g__1868;s__19162,0,1,Yes,No,Yes,Yes
736.3.patric,Haemophilus paraphrohaemolyticus strain CCUG 3718,PATRIC,OTU-20784,,high,99.43,0.34,29,2057591,70951.4,225569,,,18,Yes,Yes,Yes,257291,Haemophilus paraphrohaemolyticus,736.3,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Pasteurellaceae;g__Haemophilus_A;s__Haemophilus_A paraphrohaemolyticus,d__Bacteria;p__08;c__064;o__363;f__0707;g__2433;s__20784,1,2,Yes,No,Yes,Yes
154288.4.patric,Turicibacter sanguinis,PATRIC,OTU-09913,,high,91.6,1.84,103,2732957,26533.6,59059,,,20,Yes,Yes,Yes,256528,Turicibacter sanguinis,154288.4,d__Bacteria;p__Firmicutes;c__Bacilli;o__Haloplasmatales;f__Turicibacteraceae;g__Turicibacter;s__,d__Bacteria;p__01;c__014;o__052;f__0101;g__0419;s__09913,9,4,Yes,No,Yes,Yes
1449340.3.patric,Carnobacterium jeotgali MS3,PATRIC,OTU-10002,,high,99.45,3.55,12,2518244,209854.0,716574,,,20,Yes,Yes,Yes,235083,Carnobacterium sp.,1449340.3,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Carnobacterium_A;s__Carnobacterium_A jeotgali,d__Bacteria;p__01;c__014;o__053;f__0109;g__0515;s__10002,0,4,Yes,No,Yes,Yes
52242.8.patric,Lactobacillus gallinarum strain An101,PATRIC,OTU-10100,,high,98.94,0.0,73,2030511,27815.2,59870,,,19,Yes,Yes,Yes,250276,Lactobacillus gallinarum,52242.8,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus gallinarum,d__Bacteria;p__01;c__014;o__054;f__0106;g__0446;s__10100,1,11,Yes,No,Yes,Yes
